"lame man";John;Peter
Annas;Alexander;Caiaphas;John;Peter
Peter;Ananias
Peter;Sapphira
captain;"high priest";Peter;Gamaliel
Stephen;Philip;Prochorus;Nicanor;Timon;Parmenas;Nicolaus
"high priest";Stephen
Stephen;Saul
Simon;Philip
Peter;John;Simon
eunuch;Philip
Saul;"high priest"
Jesus;Saul
Ananias;Jesus
Ananias;Saul
Barnabas;Saul
Peter;Aeneas
Peter;Tabitha
Peter;Cornelius
Peter;Rhoda
Barnabas;Symeon;"Lucius of Cirene";Manaen;Saul
Barnabas;Saul;"John Mark"
Barnabas;Saul;"Sergius Paulus"
Saul;Elymas
Paul;Barnabas;Peter;James;Judas;Silas
Paul;Barnabas
Barnabas;"John Mark"
Paul;Silas
Timothy;Paul
Lydia;Paul
"maid having a spirit of divination";Paul
Paul;Silas;magistrates
Paul;Silas;prisoners
jailor;Paul;Silas
# 16:37 ??
"rulers of Thessalonica";Jason
Paul;"men of Athens"
Paul;"Dionysius the Areopagyte";Damaris
Paul;Aquila;Priscilla
Paul;"Titus Justus";Crispus
Paul;Gallio
Apollo;Pricilla;Aquila
Demetrius;Gaius;Aristarchus;Alexander
Paul;"Sopater of Beroea";Aristarchus;Secundus;"Gaius of Derbe";Timothy;Tychicus;Trophimus
Eutychus;Paul
Paul;"elders of the Ephesus church"
Paul;"Philip the evangelist"
Paul;"Mnason of Cyprus"
Paul;James
"Paul's sister son";Paul
"priest Ananias";"orator Tertullus";Felix;Paul
Felix;Drusilla;Paul
"Porcius Festus";Paul
"Agrippa the King";Bernice;"Porcius Festus"
"Agrippa the King";Bernice;"Porcius Festus";Paul
Paul;"centurion named Julius";Aristarchus
"father of Publius";Paul
