Azog;Thror
Balin;Bifur
Balin;Bilbo
Balin;Bofur
Balin;Bombur
Balin;Dori
Balin;Fili
Balin;Gandalf
Balin;Gloin
Balin;Kili
Balin;Nori
Balin;Oin
Balin;Ori
Balin;Thorin
Balin;Thorin
Bard;Bilbo
Bard;"Senhor (dos anoes)"
Bard;Thorin
Beladona;Bungo
Beorn;Balin
Beorn;Bifur
Beorn;Bilbo
Beorn;Bofur
Beorn;Bombur
Beorn;Dori
Beorn;Dwalin
Beorn;Fili
Beorn;Gandalf
Beorn;Kili
Beorn;Nori
Beorn;Oin
Beorn;Ori
Beorn;Thorin
Bert;Bilbo
Bert;Tom
Bert;William
Bifur;Bilbo
Bifur;Bofur
Bifur;Bombur
Bifur;Gandalf
Bifur;Thorin
Bilbo;Beladona
Bilbo;Bungo
Bilbo;Gandalf
Bofur;Bilbo
Bofur;Bombur
Bofur;Gandalf
Bofur;Thorin
Bolg;Azog
Bombur;Bilbo
Bombur;Gandalf
Bombur;Thorin
Carc;Roac
Carc;Thorin
Dain;Azog
Dain;Thorin
Dori;Bifur
Dori;Bilbo
Dori;Bofur
Dori;Bombur
Dori;Gandalf
Dori;Gloin
Dori;Nori
Dori;Oin
Dori;Ori
Dori;Thorin
Dwalin;Balin
Dwalin;Bifur
Dwalin;Bilbo
Dwalin;Bofur
Dwalin;Bombur
Dwalin;Dori
Dwalin;Fili
Dwalin;Gandalf
Dwalin;Gloin
Dwalin;Kili
Dwalin;Nori
Dwalin;Oin
Dwalin;Ori
Dwalin;Thorin
Elrond;Bilbo
Elrond;Gandalf
Elrond;Thorin
Fiindin;Balin
Fili;Bifur
Fili;Bilbo
Fili;Bofur
Fili;Bombur
Fili;Dori
Fili;Gandalf
Fili;Gloin
Fili;Nori
Fili;Oin
Fili;Ori
Fili;Thorin
Gandalf;Beladona
Gandalf;Radagast
Gloin;Bifur
Gloin;Bilbo
Gloin;Bofur
Gloin;Bombur
Gloin;Gandalf
Gloin;Thorin
Gollum;Bilbo
"Grao Orc";Thorin
Kili;Bifur
Kili;Bilbo
Kili;Bofur
Kili;Bombur
Kili;Dori
Kili;Fili
Kili;Gandalf
Kili;Gloin
Kili;Nori
Kili;Oin
Kili;Ori
Kili;Thorin
Nain;Dain
Nori;Bifur
Nori;Bilbo
Nori;Bofur
Nori;Bombur
Nori;Gandalf
Nori;Gloin
Nori;Oin
Nori;Ori
Nori;Thorin
Oin;Bifur
Oin;Bilbo
Oin;Bofur
Oin;Bombur
Oin;Gandalf
Oin;Gloin
Oin;Thorin
Ori;Bifur
Ori;Bilbo
Ori;Bofur
Ori;Bombur
Ori;Gandalf
Ori;Oin
Ori;Thorin
Radagast;Beorn
"Rei dos Elfos (Elfico)";Bilbo
"Rei dos Elfos (Elfico);Thorin
"Rei dos Elfos (Elfico)";Thorin
"Senhor (dos anoes)";Thorin
"Senhor das Aguias";Gandalf
Smaug;Bilbo
Thorin;Bilbo
Thorin;Gandalf
Thorin;Roac
Thrain;Gandalf
Thrain;Thorin
Thror;Thorin
Tom;Bert
Tom;Bilbo
Tom;William
"Velho Tuk";Beladona
"Velho Tuk";Bilbo
"Velho Tuk";Gandalf
"William (Bill)";Bert
"William (Bill)";Bilbo
"William (Bill)";Tom
